iter	Passed	Remaining
125	7132	49472
126	7182	49375
127	7233	49277
128	7284	49183
129	7335	49090
130	7386	48996
131	7437	48908
132	7488	48815
133	7539	48724
134	7590	48635
135	7641	48549
136	7693	48462
137	7744	48374
138	7796	48290
139	7847	48204
140	7898	48120
141	7949	48033
142	8000	47944
143	8051	47860
144	8102	47775
145	8153	47690
146	8204	47607
147	8255	47523
148	8305	47438
149	8356	47355
150	8408	47276
151	8459	47195
152	8510	47111
153	8560	47029
154	8612	46950
155	8662	46867
156	8714	46789
157	8764	46707
158	8815	46627
159	8866	46548
160	8917	46471
161	8969	46396
162	9021	46323
163	9078	46276
164	9129	46198
165	9180	46125
166	9231	46048
167	9282	45970
168	9334	45898
169	9384	45820
170	9435	45742
171	9487	45670
172	9538	45597
173	9590	45525
174	9640	45449
175	9691	45373
176	9742	45299
177	9793	45228
178	9844	45154
179	9895	45079
180	9946	45007
181	9998	44937
182	10049	44865
183	10100	44794
184	10151	44722
185	10202	44651
186	10254	44580
187	10304	44507
188	10355	44435
189	10409	44375
190	10459	44302
191	10510	44233
192	10561	44162
193	10612	44093
194	10664	44023
195	10714	43952
196	10766	43884
197	10817	43817
198	10869	43750
199	10920	43680
200	10971	43611
201	11022	43543
202	11074	43478
203	11124	43409
204	11175	43339
205	11226	43271
206	11277	43203
207	11328	43133
208	11378	43064
209	11429	42997
210	11480	42929
211	11531	42860
212	11582	42795
213	11633	42729
214	11698	42714
215	11749	42645
216	11799	42577
217	11852	42515
218	11903	42449
219	11953	42381
220	12004	42316
221	12055	42249
222	12106	42182
223	12157	42116
224	12208	42052
225	12259	41985
226	12310	41921
227	12361	41855
228	12412	41789
229	12462	41723
230	12514	41659
231	12564	41594
232	12616	41531
233	12667	41467
234	12718	41403
235	12770	41340
236	12820	41274
237	12871	41209
238	12922	41145
239	12977	41096
240	13028	41032
241	13079	40967
242	13130	40904
243	13181	40840
244	13231	40775
245	13283	40713
246	13333	40649
247	13384	40585
248	13435	40523
249	13496	40488
250	13547	40427
251	13598	40364
252	13649	40301
253	13700	40238
254	13752	40178
255	13802	40114
256	13858	40066
257	13918	40030
258	13976	39988
259	14028	39927
260	14078	39862
261	14128	39798
262	14179	39734
263	14230	39673
264	14281	39611
265	14332	39550
266	14384	39489
267	14434	39426
268	14486	39365
269	14537	39304
270	14588	39242
271	14638	39179
272	14689	39118
273	14740	39057
274	14791	38996
275	14842	38935
276	14894	38875
277	14944	38813
278	14995	38751
279	15047	38692
280	15098	38633
281	15149	38571
282	15200	38511
283	15251	38450
284	15302	38390
285	15355	38334
286	15405	38272
287	15456	38212
288	15510	38158
289	15562	38102
290	15615	38045
291	15667	37987
292	15718	37928
293	15769	37867
294	15820	37807
295	15871	37747
296	15922	37687
297	15973	37628
298	16024	37568
299	16074	37507
300	16126	37448
301	16177	37391
302	16228	37330
303	16279	37271
304	16330	37212
305	16381	37153
306	16432	37093
307	16484	37036
308	16534	36975
309	16585	36916
310	16636	36857
311	16687	36798
312	16738	36739
313	16789	36681
314	16840	36621
315	16891	36563
316	16943	36505
317	16997	36453
318	17048	36395
319	17099	36337
320	17150	36277
321	17201	36219
322	17252	36161
323	17303	36102
324	17354	36043
325	17405	35985
326	17456	35927
327	17507	35868
328	17558	35811
329	17609	35752
330	17660	35694
331	17711	35636
332	17762	35578
333	17813	35520
334	17864	35462
335	17915	35403
336	17965	35345
337	18017	35287
338	18067	35229
339	18117	35169
340	18169	35112
341	18219	35054
342	18272	34999
343	18323	34942
344	18374	34884
345	18424	34826
346	18476	34770
347	18527	34712
348	18579	34656
349	18631	34600
350	18681	34542
351	18732	34484
352	18783	34427
353	18834	34369
354	18884	34311
355	18936	34255
356	18987	34198
357	19037	34140
358	19088	34083
359	19139	34025
360	19190	33969
361	19240	33910
362	19291	33853
363	19342	33796
364	19393	33739
365	19444	33681
366	19494	33624
367	19546	33568
368	19596	33511
369	19648	33454
370	19699	33398
371	19750	33342
372	19801	33284
373	19851	33227
374	19902	33171
375	19953	33114
376	20004	33057
377	20055	33001
378	20106	32944
379	20157	32888
380	20207	32831
381	20258	32774
382	20309	32718
383	20360	32661
384	20410	32604
385	20461	32547
386	20513	32492
387	20564	32436
388	20615	32380
389	20666	32324
390	20717	32268
391	20768	32211
392	20819	32155
393	20869	32099
394	20920	32042
395	20971	31986
396	21023	31931
397	21073	31875
398	21124	31819
399	21175	31763
400	21226	31708
401	21277	31651
402	21328	31596
403	21379	31540
404	21430	31484
405	21482	31429
406	21532	31373
407	21584	31318
408	21636	31264
409	21687	31208
410	21737	31152
411	21789	31097
412	21839	31041
413	21891	30986
414	21942	30930
415	21992	30874
416	22043	30818
417	22095	30764
418	22146	30708
419	22197	30653
420	22248	30597
421	22298	30541
422	22349	30486
423	22399	30430
424	22450	30374
425	22501	30319
426	22552	30263
427	22603	30208
428	22656	30155
429	22707	30101
430	22760	30047
431	22812	29993
432	22863	29939
433	22916	29886
434	22968	29832
435	23020	29779
436	23072	29725
437	23124	29670
438	23175	29616
439	23227	29562
440	23279	29508
441	23330	29453
442	23381	29398
443	23433	29344
444	23484	29289
445	23535	29235
446	23587	29181
447	23638	29126
448	23690	29072
449	23742	29018
450	23794	28964
451	23847	28912
452	23898	28857
453	23949	28802
454	24000	28747
455	24051	28693
456	24102	28637
457	24152	28582
458	24203	28527
459	24254	28472
460	24305	28418
461	24356	28363
462	24407	28308
463	24458	28253
464	24509	28199
465	24560	28144
466	24611	28089
467	24662	28035
468	24713	27980
469	24764	27926
470	24815	27871
471	24866	27816
472	24917	27762
473	24968	27707
474	25018	27652
475	25069	27597
476	25120	27543
477	25179	27497
478	25230	27442
479	25281	27388
480	25332	27333
481	25383	27279
482	25435	27225
483	25487	27172
484	25539	27119
485	25590	27064
486	25641	27010
487	25694	26958
488	25746	26904
489	25797	26850
490	25849	26797
491	25900	26743
492	25951	26688
493	26002	26634
494	26053	26579
495	26103	26524
496	26154	26470
497	26205	26416
498	26256	26361
499	26307	26307
500	26359	26254
501	26423	26213
502	26479	26163
503	26529	26108
504	26580	26054
505	26631	26000
506	26682	25945
507	26733	25891
508	26783	25836
509	26834	25782
510	26884	25727
511	26935	25673
512	26987	25619
513	27038	25565
514	27088	25510
515	27139	25456
516	27191	25403
517	27242	25348
518	27293	25295
519	27344	25241
520	27395	25186
521	27446	25133
522	27497	25078
523	27547	25024
524	27599	24970
525	27650	24916
526	27701	24862
527	27752	24808
528	27803	24754
529	27853	24700
530	27904	24646
531	27954	24591
532	28005	24537
533	28056	24483
534	28107	24429
535	28158	24375
536	28208	24321
537	28260	24267
538	28310	24213
539	28360	24159
540	28411	24105
541	28462	24051
542	28513	23997
543	28564	23943
544	28615	23890
545	28666	23836
546	28718	23783
547	28768	23729
548	28819	23675
549	28874	23624
550	28925	23570
551	28977	23517
552	29028	23464
553	29079	23410
554	29130	23357
555	29181	23303
556	29232	23249
557	29283	23195
558	29334	23142
559	29384	23088
560	29435	23034
561	29487	22981
562	29537	22927
563	29589	22874
564	29640	22820
565	29690	22766
566	29741	22712
567	29792	22659
568	29843	22605
569	29894	22551
570	29945	22498
571	29995	22444
572	30046	22390
573	30098	22337
574	30148	22283
575	30199	22230
576	30259	22183
577	30310	22129
578	30361	22075
579	30411	22022
580	30462	21968
581	30514	21915
582	30566	21863
583	30618	21810
584	30671	21758
585	30723	21705
586	30774	21652
587	30825	21598
588	30875	21544
589	30926	21491
590	30976	21437
591	31027	21384
592	31078	21330
593	31129	21277
594	31181	21224
595	31232	21171
596	31283	21117
597	31334	21064
598	31386	21011
599	31436	20957
600	31487	20904
601	31538	20851
602	31589	20797
603	31640	20744
604	31691	20691
605	31742	20638
606	31793	20584
607	31844	20531
608	31895	20478
609	31946	20424
610	31997	20371
611	32048	20318
612	32099	20265
613	32150	20212
614	32201	20158
615	32252	20105
616	32304	20052
617	32355	19999
618	32405	19946
619	32456	19892
620	32507	19839
621	32558	19786
622	32610	19733
623	32661	19680
624	32713	19627
625	32763	19574
626	32815	19521
627	32866	19468
628	32916	19415
629	32967	19362
630	33019	19309
631	33071	19256
632	33122	19203
633	33174	19151
634	33225	19098
635	33276	19045
636	33327	18991
637	33378	18938
638	33429	18885
639	33479	18832
640	33530	18779
641	33581	18726
642	33632	18673
643	33684	18620
644	33735	18567
645	33786	18514
646	33836	18461
647	33887	18408
648	33938	18354
649	33989	18301
650	34040	18248
651	34091	18195
652	34142	18143
653	34195	18091
654	34246	18038
655	34297	17985
656	34348	17932
657	34399	17879
658	34450	17826
659	34501	17773
660	34552	17720
661	34602	17667
662	34654	17614
663	34704	17561
664	34756	17508
665	34808	17456
666	34859	17403
667	34911	17351
668	34962	17298
669	35014	17245
670	35065	17193
671	35119	17141
672	35169	17088
673	35220	17035
674	35270	16982
675	35321	16929
676	35372	16876
677	35424	16824
678	35475	16771
679	35526	16718
680	35577	16665
681	35628	16612
682	35679	16559
683	35742	16512
684	35793	16459
685	35843	16406
686	35895	16353
687	35945	16301
688	35996	16248
689	36048	16195
690	36098	16142
691	36150	16089
692	36200	16037
693	36251	15984
694	36307	15933
695	36358	15880
696	36409	15827
697	36460	15775
698	36511	15722
699	36561	15669
700	36612	15616
701	36664	15563
702	36714	15510
703	36766	15458
704	36818	15406
705	36869	15353
706	36919	15300
707	36971	15248
708	37022	15195
709	37075	15143
710	37125	15090
711	37176	15037
712	37227	14985
713	37278	14932
714	37329	14879
715	37380	14826
716	37432	14774
717	37483	14721
718	37534	14669
719	37585	14616
720	37636	14563
721	37687	14511
722	37738	14458
723	37788	14405
724	37839	14352
725	37891	14300
726	37941	14247
727	37992	14195
728	38043	14142
729	38096	14090
730	38154	14040
731	38206	13987
732	38256	13935
733	38307	13882
734	38358	13829
735	38408	13777
736	38461	13725
737	38519	13674
738	38583	13626
739	38638	13575
740	38690	13523
741	38742	13471
742	38793	13418
743	38843	13365
744	38894	13312
745	38945	13260
746	38995	13207
747	39047	13154
748	39098	13102
749	39148	13049
750	39199	12997
751	39250	12944
752	39302	12891
753	39353	12839
754	39403	12786
755	39454	12734
756	39506	12681
757	39561	12630
758	39613	12578
759	39666	12526
760	39718	12474
761	39770	12421
762	39822	12369
763	39873	12316
764	39924	12264
765	39975	12211
766	40026	12159
767	40077	12106
768	40137	12056
769	40188	12004
770	40239	11951
771	40290	11899
772	40341	11846
773	40392	11794
774	40443	11741
775	40494	11689
776	40545	11636
777	40596	11584
778	40647	11531
779	40698	11479
780	40751	11427
781	40806	11375
782	40859	11323
783	40910	11271
784	40960	11218
785	41012	11166
786	41063	11113
787	41114	11061
788	41165	11008
789	41216	10956
790	41267	10903
791	41319	10851
792	41370	10799
793	41420	10746
794	41472	10694
795	41522	10641
796	41573	10589
797	41625	10536
798	41676	10484
799	41727	10431
800	41779	10379
801	41830	10327
802	41881	10274
803	41932	10222
804	41983	10169
805	42033	10117
806	42084	10064
807	42135	10012
808	42186	9959
809	42237	9907
810	42288	9855
811	42339	9802
812	42390	9750
813	42441	9697
814	42491	9645
815	42542	9593
816	42593	9540
817	42644	9488
818	42695	9435
819	42747	9383
820	42798	9331
821	42850	9278
822	42900	9226
823	42951	9174
824	43003	9121
825	43053	9069
826	43104	9017
827	43156	8964
828	43207	8912
829	43258	8860
830	43309	8807
831	43360	8755
832	43411	8703
833	43462	8650
834	43513	8598
835	43564	8546
836	43615	8493
837	43666	8441
838	43716	8389
839	43768	8336
840	43820	8284
841	43871	8232
842	43922	8180
843	43973	8127
844	44024	8075
845	44075	8023
846	44126	7970
847	44177	7918
848	44228	7866
849	44279	7814
850	44331	7761
851	44382	7709
852	44433	7657
853	44484	7605
854	44535	7552
855	44586	7500
856	44637	7448
857	44689	7396
858	44741	7343
859	44792	7291
860	44845	7239
861	44896	7187
862	44947	7135
863	44998	7083
864	45049	7030
865	45101	6978
866	45152	6926
867	45203	6874
868	45254	6821
869	45304	6769
870	45331	6713
871	45382	6661
872	45434	6609
873	45485	6557
874	45536	6505
875	45587	6452
876	45637	6400
877	45689	6348
878	45740	6296
879	45791	6244
880	45842	6192
881	45893	6139
882	45944	6087
883	45995	6035
884	46046	5983
885	46097	5931
886	46148	5879
887	46200	5827
888	46250	5774
889	46302	5722
890	46353	5670
891	46404	5618
892	46456	5566
893	46507	5514
894	46558	5462
895	46610	5410
896	46660	5357
897	46712	5305
898	46763	5253
899	46814	5201
900	46865	5149
901	46916	5097
902	46967	5045
903	47018	4993
904	47069	4941
905	47121	4888
906	47172	4836
907	47225	4784
908	47277	4732
909	47329	4680
910	47379	4628
911	47431	4576
912	47483	4524
913	47534	4472
914	47585	4420
915	47636	4368
916	47688	4316
917	47739	4264
918	47790	4212
919	47841	4160
920	47893	4108
921	47943	4055
922	47995	4003
923	48047	3951
924	48098	3899
925	48149	3847
926	48201	3795
927	48252	3743
928	48303	3691
929	48355	3639
930	48406	3587
931	48457	3535
932	48508	3483
933	48560	3431
934	48611	3379
935	48662	3327
936	48713	3275
937	48764	3223
938	48817	3171
939	48868	3119
940	48919	3067
941	48970	3015
942	49021	2963
943	49073	2911
944	49124	2859
945	49176	2807
946	49227	2755
947	49279	2703
948	49329	2651
949	49380	2598
950	49431	2546
951	49482	2494
952	49533	2442
953	49584	2390
954	49635	2338
955	49686	2286
956	49742	2235
957	49794	2183
958	49845	2131
959	49897	2079
960	49947	2027
961	49998	1975
962	50050	1923
963	50102	1871
964	50153	1819
965	50205	1767
966	50256	1715
967	50307	1663
968	50358	1611
969	50409	1559
970	50460	1507
971	50511	1455
972	50562	1403
973	50613	1351
974	50665	1299
975	50717	1247
976	50768	1195
977	50820	1143
978	50873	1091
979	50924	1039
980	50976	987
981	51042	935
982	51105	883
983	51156	831
984	51208	779
985	51259	727
986	51310	675
987	51362	623
988	51413	571
989	51464	519
990	51515	467
991	51566	415
992	51618	363
993	51669	311
994	51720	259
995	51771	207
996	51822	155
997	51874	103
998	51925	51
999	51977	0
